vehicle,serial,departure,arrival,duration_min,origin,destination,origin_lat,origin_lng,destination_lat,destination_lng,miles,straight_miles,efficiency_ratio,efficiency
RPS-985-742-18 ER,0470009732,2026-07-27 07:06:48,2026-07-27 07:29:03,22.2,"Calle Dr. José M. Espillat (Residential), Toa Baja, Puerto Rico, 00949","Roof, Avenida Juan ""Picolino"" Hernández Ferrer / Avenida Sabana Seca, Toa Baja, Puerto Rico, 00952",18.442513,-66.187486,18.438131,-66.186416,0.67,0.31,2.14,Ineficiente
RPS 933-090 12 LR,0470009730,2026-07-27 07:16:58,2026-07-27 07:24:41,7.7,"Parque de los Monacillos (Residential, residential), San Juan, Puerto Rico, 00921","Plaza Puerto Rico (Retail, retail), San Juan, Puerto Rico, 00926",18.378941,-66.095251,18.370308,-66.076926,1.97,1.34,1.47,Revisar
RPS 994-209 19 MD,0470009727,2026-07-27 07:22:02,2026-07-27 07:47:36,25.6,"PR-489 (Tertiary), Hatillo, Puerto Rico, 00659","Service, Hatillo, Puerto Rico, 00659",18.366508,-66.781871,18.422886,-66.812268,9.31,4.38,2.13,Ineficiente
RPS 1038729 - LV,866846053691563,2026-07-27 07:33:04,2026-07-27 07:57:09,24.1,"Residential, Vega Baja, Puerto Rico, 00693","Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693",18.4826883,-66.4288316,18.4243533,-66.4756266,0.0,5.06,0.0,Eficiente
RPS-985-742-18 ER,0470009732,2026-07-27 07:36:03,2026-07-27 08:11:03,35.0,"Roof, Avenida Juan ""Picolino"" Hernández Ferrer / Avenida Sabana Seca, Toa Baja, Puerto Rico, 00952","Urbanización Braulio Dueño Colón (Neighbourhood, residential, neighbourhood), Bayamon, Puerto Rico, 00959",18.438131,-66.186416,18.39295,-66.162741,5.16,3.49,1.48,Revisar
RPS IRK-578 17 AM,0470009725,2026-07-27 07:44:49,2026-07-27 08:02:02,17.2,"Calle Degetau (Residential), San Juan, Puerto Rico, 00915","Calle Ramón Emeterio Betances y Alacán (Residential), San Juan, Puerto Rico, 00915",18.44319,-66.053275,18.446866,-66.052221,0.32,0.26,1.2,Eficiente
RPS 933-091 13 ME,0470009728,2026-07-27 07:51:29,2026-07-27 08:18:58,27.5,"Calle Los Reyes (Residential), Arecibo, Puerto Rico, 00612","Residential, Hatillo, Puerto Rico, 00659",18.446688,-66.64815,18.401078,-66.775928,12.36,8.95,1.38,Revisar
RPS 994-209 19 MD,0470009727,2026-07-27 07:57:54,2026-07-27 08:06:40,8.8,"Service, Hatillo, Puerto Rico, 00659","Calle Paco Pagán (Residential), Hatillo, Puerto Rico, 00659",18.422886,-66.812268,18.425406,-66.781431,2.79,2.03,1.37,Revisar
RPS 933-090 12 LR,0470009730,2026-07-27 08:06:50,2026-07-27 09:01:42,54.9,"Plaza Puerto Rico (Retail, retail), San Juan, Puerto Rico, 00926","Sector León (Residential), Guaynabo, Puerto Rico, 00971",18.370308,-66.076926,18.333608,-66.10582,4.12,3.17,1.3,Eficiente
RPS IRK-578 17 AM,0470009725,2026-07-27 08:11:56,2026-07-27 08:40:31,28.6,"Calle Ramón Emeterio Betances y Alacán (Residential), San Juan, Puerto Rico, 00915","Calle Segundo Ruiz Belvis (Residential), San Juan, Puerto Rico, 00915",18.446866,-66.052221,18.442736,-66.05242,0.67,0.29,2.35,Ineficiente
RPS 996-332 21 EP,0470009726,2026-07-27 08:19:13,2026-07-27 08:29:30,10.3,"Carretera Villalba - Coamo (Secondary, PR-150), Coamo, Puerto Rico, 00769","Track, Coamo, Puerto Rico, 00769",18.086181,-66.414898,18.103135,-66.420246,1.81,1.22,1.48,Revisar
RPS-985-742-18 ER,0470009732,2026-07-27 08:19:14,2026-07-27 08:44:45,25.5,"Urbanización Braulio Dueño Colón (Neighbourhood, residential, neighbourhood), Bayamon, Puerto Rico, 00959","Calle 14 (Residential), Toa Alta, Puerto Rico, 00953",18.392949,-66.16274,18.365395,-66.210333,5.78,3.66,1.58,Revisar
RPS 994-204 20 RR,0470009744,2026-07-27 08:33:24,2026-07-27 09:14:50,41.4,"Urbanización Villa Andalucía (Neighbourhood, residential, neighbourhood), San Juan, Puerto Rico, 00926","Condominio Dr. Leopoldo Figueroa Carreras (Neighbourhood, residential, neighbourhood), San Juan, Puerto Rico, 00923",18.381455,-66.030926,18.398278,-66.039366,3.12,1.29,2.43,Ineficiente
RPS 996-332 21 EP,0470009726,2026-07-27 08:41:58,2026-07-27 11:06:28,144.5,"Track, Coamo, Puerto Rico, 00769","Residential, Manati, Puerto Rico, 00674",18.103135,-66.420246,18.424741,-66.475431,45.36,22.51,2.01,Ineficiente
RPS 994-209 19 MD,0470009727,2026-07-27 08:56:34,2026-07-27 09:18:12,21.6,"Calle Paco Pagán (Residential), Hatillo, Puerto Rico, 00659","Calle C (Residential), Hatillo, Puerto Rico, 00659",18.425406,-66.781431,18.482781,-66.78892,5.0,3.99,1.25,Eficiente
RPS-985-742-18 ER,0470009732,2026-07-27 08:57:00,2026-07-27 09:15:13,18.2,"Calle 14 (Residential), Toa Alta, Puerto Rico, 00953","Calle 9 (Residential), Toa Alta, Puerto Rico, 00953",18.365395,-66.210333,18.382466,-66.224723,3.24,1.51,2.15,Ineficiente
RPS IRK-578 17 AM,0470009725,2026-07-27 09:02:37,2026-07-27 10:09:02,66.4,"Calle Segundo Ruiz Belvis (Residential), San Juan, Puerto Rico, 00915","Lote 23 Parking Santurce Gastronómico (Parking, Lote 23), Calle del Parque, San Juan, Puerto Rico, 00909",18.442736,-66.05242,18.444325,-66.067163,1.84,0.97,1.89,Ineficiente
RPS 933-091 13 ME,0470009728,2026-07-27 09:21:29,2026-07-27 09:35:42,14.2,"Residential, Hatillo, Puerto Rico, 00659","Roof, Carretera Gobernador Licenciado Carlos Romero Barceló, Hatillo, Puerto Rico, 00659",18.401078,-66.775928,18.427155,-66.794091,3.11,2.16,1.44,Revisar
RPS 933-090 12 LR,0470009730,2026-07-27 09:21:43,2026-07-27 10:38:49,77.1,"Sector León (Residential), Guaynabo, Puerto Rico, 00971","Camino Blas Cuadrado (Residential), Humacao, Puerto Rico, 00791",18.333608,-66.105819,18.128651,-65.856835,27.77,21.62,1.28,Eficiente
RPS 994-204 20 RR,0470009744,2026-07-27 09:22:01,2026-07-27 10:02:28,40.5,"Condominio Dr. Leopoldo Figueroa Carreras (Neighbourhood, residential, neighbourhood), San Juan, Puerto Rico, 00923","Parcelas Falú (Neighbourhood, residential, neighbourhood), San Juan, Puerto Rico, 00924",18.398278,-66.039366,18.404221,-66.01679,5.53,1.54,3.6,Ineficiente
RPS-985-742-18 ER,0470009732,2026-07-27 09:22:10,2026-07-27 09:47:46,25.6,"Calle 9 (Residential), Toa Alta, Puerto Rico, 00953","Calle Kilómetro 1.6 (Residential), Toa Alta, Puerto Rico, 00953",18.382466,-66.224723,18.357256,-66.262161,6.78,3.01,2.25,Ineficiente
RPS 1038729 - LV,866846053691563,2026-07-27 09:26:59,2026-07-27 09:34:27,7.5,"Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693","Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693",18.4243533,-66.4756266,18.4244,-66.4756416,0.0,0.0,,Sin distancia suficiente
RPS 994-209 19 MD,0470009727,2026-07-27 09:31:28,2026-07-27 09:49:03,17.6,"Calle C (Residential), Hatillo, Puerto Rico, 00659","Calle 9 (Residential), Arecibo, Puerto Rico, 00612",18.482781,-66.78892,18.472935,-66.754645,3.65,2.35,1.55,Revisar
RPS 933-091 13 ME,0470009728,2026-07-27 09:39:33,2026-07-27 09:54:44,15.2,"Roof, Carretera Gobernador Licenciado Carlos Romero Barceló, Hatillo, Puerto Rico, 00659","Calle D (Residential), Hatillo, Puerto Rico, 00659",18.427156,-66.794091,18.474538,-66.826058,4.69,3.89,1.21,Eficiente
RPS 994-209 19 MD,0470009727,2026-07-27 10:02:34,2026-07-27 10:05:56,3.4,"Calle 9 (Residential), Arecibo, Puerto Rico, 00612","Calle 9 (Residential), Arecibo, Puerto Rico, 00612",18.472935,-66.754645,18.473936,-66.755636,0.15,0.09,,Sin distancia suficiente
RPS 933-091 13 ME,0470009728,2026-07-27 10:07:54,2026-07-27 10:30:29,22.6,"Calle D (Residential), Hatillo, Puerto Rico, 00659","Calle 1 (Residential), Quebradillas, Puerto Rico, 00678",18.474538,-66.826056,18.47032,-66.930583,9.1,6.86,1.33,Eficiente
RPS 994-204 20 RR,0470009744,2026-07-27 10:16:17,2026-07-27 11:06:08,49.9,"Parcelas Falú (Neighbourhood, residential, neighbourhood), San Juan, Puerto Rico, 00924","Residential, Manati, Puerto Rico, 00674",18.404223,-66.016811,18.424616,-66.47543,36.02,30.1,1.2,Eficiente
RPS-985-742-18 ER,0470009732,2026-07-27 10:17:47,2026-07-27 10:17:47,0.0,"Calle Marlín (Residential), Toa Alta, Puerto Rico, 00953","Calle Marlín (Residential), Toa Alta, Puerto Rico, 00953",18.344886,-66.280436,18.344886,-66.280436,0,0.0,,Sin distancia suficiente
RPS-985-742-18 ER,0470009732,2026-07-27 10:17:48,2026-07-27 10:24:29,6.7,"Calle Marlín (Residential), Toa Alta, Puerto Rico, 00953","Camino Los Marrero (Residential), Toa Alta, Puerto Rico, 00953",18.344886,-66.280436,18.361876,-66.295546,3.41,1.54,2.22,Ineficiente
RPS IRK-578 17 AM,0470009725,2026-07-27 10:25:23,2026-07-27 11:34:01,68.6,"Lote 23 Parking Santurce Gastronómico (Parking, Lote 23), Calle del Parque, San Juan, Puerto Rico, 00909","Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693",18.444325,-66.067163,18.424404,-66.475499,31.46,26.8,1.17,Eficiente
RPS 994-209 19 MD,0470009727,2026-07-27 10:27:03,2026-07-27 10:33:14,6.2,"Calle 9 (Residential), Arecibo, Puerto Rico, 00612","Plaza del Atlántico (Retail, retail), Arecibo, Puerto Rico, 00612",18.473936,-66.755636,18.478343,-66.758185,0.48,0.35,1.37,Revisar
RPS-985-742-18 ER,0470009732,2026-07-27 10:37:42,2026-07-27 10:52:31,14.8,"Camino Los Marrero (Residential), Toa Alta, Puerto Rico, 00953","Burger King (Fast_food), Carretera Carmelo Mercado Adorno, Vega Alta, Puerto Rico, 00692",18.361876,-66.295546,18.413596,-66.307293,6.31,3.66,1.73,Revisar
RPS 994-209 19 MD,0470009727,2026-07-27 10:40:11,2026-07-27 11:15:50,35.6,"Plaza del Atlántico (Retail, retail), Arecibo, Puerto Rico, 00612","Residential, Manati, Puerto Rico, 00674",18.478343,-66.758186,18.424745,-66.475431,25.56,18.9,1.35,Eficiente
RPS 933-090 12 LR,0470009730,2026-07-27 10:48:31,2026-07-27 11:08:20,19.8,"Camino Blas Cuadrado (Residential), Humacao, Puerto Rico, 00791","PR-9903 (Tertiary), Yabucoa, Puerto Rico, 00767",18.128651,-65.856835,18.114143,-65.892408,4.35,2.54,1.71,Revisar
RPS-985-742-18 ER,0470009732,2026-07-27 10:55:38,2026-07-27 11:20:02,24.4,"Burger King (Fast_food), Carretera Carmelo Mercado Adorno, Vega Alta, Puerto Rico, 00692","Residential, Manati, Puerto Rico, 00674",18.413598,-66.307295,18.424613,-66.475411,15.42,11.05,1.4,Revisar
RPS 933-091 13 ME,0470009728,2026-07-27 10:55:56,2026-07-27 11:56:23,60.5,"Calle 1 (Residential), Quebradillas, Puerto Rico, 00678","Plaza Monte Real (Retail, retail), Manati, Puerto Rico, 00674",18.47032,-66.930583,18.439778,-66.458225,36.09,31.03,1.16,Eficiente
RPS 933-089 11 EO,0470009731,2026-07-27 11:00:08,2026-07-27 11:00:08,0.0,"Calle Prudencio Meléndez (Residential), Arecibo, Puerto Rico, 00612","Calle Prudencio Meléndez (Residential), Arecibo, Puerto Rico, 00612",18.422899,-66.743921,18.422899,-66.743921,0,0.0,,Sin distancia suficiente
RPS 996-332 21 EP,0470009726,2026-07-27 11:12:27,2026-07-27 11:15:50,3.4,"Residential, Manati, Puerto Rico, 00674","Residential, Manati, Puerto Rico, 00674",18.424741,-66.475431,18.424463,-66.475441,0.04,0.02,,Sin distancia suficiente
RPS 994-204 20 RR,0470009744,2026-07-27 11:16:25,2026-07-27 11:22:15,5.8,"Residential, Manati, Puerto Rico, 00674","Residential, Manati, Puerto Rico, 00674",18.42463,-66.4754,18.42444,-66.475444,0.04,0.01,,Sin distancia suficiente
RPS 994-209 19 MD,0470009727,2026-07-27 11:24:47,2026-07-27 11:27:35,2.8,"Residential, Manati, Puerto Rico, 00674","Residential, Manati, Puerto Rico, 00674",18.424745,-66.475431,18.424436,-66.475488,0.04,0.02,,Sin distancia suficiente
RPS-985-742-18 ER,0470009732,2026-07-27 11:34:33,2026-07-27 11:35:28,0.9,"Residential, Manati, Puerto Rico, 00674","Residential, Manati, Puerto Rico, 00674",18.424613,-66.475411,18.42464,-66.475458,0.01,0.0,,Sin distancia suficiente
RPS 933-090 12 LR,0470009730,2026-07-27 12:02:05,2026-07-27 12:08:56,6.8,"PR-9903 (Tertiary), Yabucoa, Puerto Rico, 00767","Residential, Yabucoa, Puerto Rico, 00767",18.114143,-65.892408,18.099425,-65.89944,1.62,1.12,1.45,Revisar
RPS 933-091 13 ME,0470009728,2026-07-27 12:14:24,2026-07-27 12:23:41,9.3,"Plaza Monte Real (Retail, retail), Manati, Puerto Rico, 00674","Residential, Manati, Puerto Rico, 00674",18.439778,-66.458225,18.418678,-66.462014,2.02,1.48,1.36,Revisar
RPS 933-090 12 LR,0470009730,2026-07-28 00:51:57,2026-07-28 02:14:38,82.7,"Residential, Yabucoa, Puerto Rico, 00767","Carretera Fernando ""Nando"" Otero Sánchez (Secondary, PR-149), Manati, Puerto Rico, 00674",18.099428,-65.899435,18.429071,-66.474728,63.8,44.09,1.45,Revisar
RPS 933-090 12 LR,0470009730,2026-07-28 02:17:14,2026-07-28 02:22:56,5.7,"Carretera Fernando ""Nando"" Otero Sánchez (Secondary, PR-149), Manati, Puerto Rico, 00674","Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693",18.429071,-66.474728,18.424386,-66.475551,0.88,0.33,2.69,Ineficiente
RPS 994-204 20 RR,0470009744,2026-07-28 02:58:18,2026-07-28 03:19:39,21.4,"Residential, Manati, Puerto Rico, 00674","PR-643 (Tertiary), Vega Baja, Puerto Rico, 00693",18.424438,-66.475445,18.385411,-66.423256,8.76,4.36,2.01,Ineficiente
RPS 994-209 19 MD,0470009727,2026-07-28 03:06:07,2026-07-28 03:08:26,2.3,"Residential, Manati, Puerto Rico, 00674","Residential, Manati, Puerto Rico, 00674",18.424435,-66.475488,18.424713,-66.47548,0.03,0.02,,Sin distancia suficiente
RPS 996-332 21 EP,0470009726,2026-07-28 03:06:45,2026-07-28 03:29:32,22.8,"Residential, Manati, Puerto Rico, 00674","Calle 6 (Residential), Vega Baja, Puerto Rico, 00693",18.424463,-66.475441,18.408436,-66.370595,10.27,6.96,1.47,Revisar
RPS 994-209 19 MD,0470009727,2026-07-28 03:09:30,2026-07-28 03:54:13,44.7,"Residential, Manati, Puerto Rico, 00674","Calle B (Residential), Catano, Puerto Rico, 00962",18.424713,-66.47548,18.428156,-66.135515,25.34,22.29,1.14,Eficiente
RPS 933-090 12 LR,0470009730,2026-07-28 03:10:57,2026-07-28 03:19:17,8.3,"Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693","Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693",18.424386,-66.475551,18.42436,-66.475553,0.28,0.0,,Sin distancia suficiente
RPS IRK-578 17 AM,0470009725,2026-07-28 03:25:40,2026-07-28 04:44:57,79.3,"Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693","Residential, Arecibo, Puerto Rico, 00612",18.424403,-66.475499,18.420415,-66.726016,22.6,16.42,1.38,Revisar
RPS 994-204 20 RR,0470009744,2026-07-28 03:26:01,2026-07-28 04:14:35,48.6,"PR-643 (Tertiary), Vega Baja, Puerto Rico, 00693","Calle Monte Delgado (Residential), Morovis, Puerto Rico, 00687",18.385411,-66.423256,18.326938,-66.399103,6.93,4.34,1.6,Revisar
RPS 996-332 21 EP,0470009726,2026-07-28 03:38:32,2026-07-28 04:06:53,28.4,"Calle 6 (Residential), Vega Baja, Puerto Rico, 00693","Calle Wilfredo Branchi (Residential), Vega Alta, Puerto Rico, 00692",18.408436,-66.370594,18.445938,-66.338896,5.98,3.32,1.8,Revisar
RPS-985-742-18 ER,0470009732,2026-07-28 03:44:11,2026-07-28 03:50:55,6.7,"Residential, Manati, Puerto Rico, 00674","Residential, Manati, Puerto Rico, 00674",18.424639,-66.475453,18.424451,-66.47548,0.27,0.01,,Sin distancia suficiente
RPS 933-091 13 ME,0470009728,2026-07-28 03:54:09,2026-07-28 04:00:42,6.5,"Residential, Manati, Puerto Rico, 00674","Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693",18.418883,-66.462006,18.424391,-66.475518,1.46,0.96,1.52,Revisar
RPS 933-089 11 EO,0470009731,2026-07-28 03:59:36,2026-07-28 04:06:06,6.5,"Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693","Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693",18.424373,-66.475558,18.42437,-66.475543,0.27,0.0,,Sin distancia suficiente
RPS 994-209 19 MD,0470009727,2026-07-28 04:11:39,2026-07-28 04:26:53,15.2,"Calle B (Residential), Catano, Puerto Rico, 00962","Carretera Dr. Leopoldo Figueroa Carreras (Tertiary, Carretera 8869, PR-8869), Catano, Puerto Rico, 00962",18.428157,-66.135517,18.436856,-66.14363,1.38,0.8,1.72,Revisar
RPS 996-332 21 EP,0470009726,2026-07-28 04:14:43,2026-07-28 04:39:32,24.8,"Calle Wilfredo Branchi (Residential), Vega Alta, Puerto Rico, 00692","Calle 1 (Residential), Toa Alta, Puerto Rico, 00953",18.445938,-66.338896,18.393231,-66.251826,10.39,6.77,1.53,Revisar
RPS 933-090 12 LR,0470009730,2026-07-28 04:18:24,2026-07-28 04:19:14,0.8,"Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693","Residential, Manati, Puerto Rico, 00674",18.42436,-66.475553,18.424705,-66.475483,0.04,0.02,,Sin distancia suficiente
RPS 994-204 20 RR,0470009744,2026-07-28 04:23:43,2026-07-28 04:31:17,7.6,"Calle Monte Delgado (Residential), Morovis, Puerto Rico, 00687","Calle Progreso (Residential), Morovis, Puerto Rico, 00687",18.326938,-66.399103,18.326483,-66.40823,1.21,0.6,2.02,Ineficiente
RPS 933-090 12 LR,0470009730,2026-07-28 04:34:24,2026-07-28 04:49:38,15.2,"Residential, Manati, Puerto Rico, 00674","Roof, Carretera Militar, Manatí, Puerto Rico, 00674",18.424705,-66.475483,18.432223,-66.476946,1.54,0.53,2.91,Ineficiente
RPS 933-089 11 EO,0470009731,2026-07-28 04:39:42,2026-07-28 04:47:08,7.4,"Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693","Carretera Militar (Secondary, PR-2), Manati, Puerto Rico, 00674",18.42437,-66.475543,18.436398,-66.462958,1.52,1.17,1.29,Eficiente
RPS 994-204 20 RR,0470009744,2026-07-28 04:40:37,2026-07-28 05:36:12,55.6,"Calle Progreso (Residential), Morovis, Puerto Rico, 00687","Carretera Adolfo Junior González Rivas ""Hommy"" (Secondary, PR-155), Orocovis, Puerto Rico, 00720",18.326518,-66.408193,18.213313,-66.400463,17.79,7.84,2.27,Ineficiente
RPS 933-091 13 ME,0470009728,2026-07-28 04:41:46,2026-07-28 04:44:02,2.3,"Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693","Residential, Manati, Puerto Rico, 00674",18.424391,-66.475518,18.424723,-66.475481,0.04,0.02,,Sin distancia suficiente
RPS 994-209 19 MD,0470009727,2026-07-28 04:42:51,2026-07-28 05:08:01,25.2,"Carretera Dr. Leopoldo Figueroa Carreras (Tertiary, Carretera 8869, PR-8869), Catano, Puerto Rico, 00962","A-10 Calle A, Calle A, Guaynabo, Puerto Rico, 00966",18.436856,-66.14363,18.402986,-66.115966,5.46,2.96,1.84,Ineficiente
RPS 996-332 21 EP,0470009726,2026-07-28 04:47:34,2026-07-28 05:09:18,21.7,"Calle 1 (Residential), Toa Alta, Puerto Rico, 00953","Calle 3 (Residential), Toa Alta, Puerto Rico, 00953",18.393231,-66.251826,18.365705,-66.219818,4.32,2.83,1.53,Revisar
RPS 933-091 13 ME,0470009728,2026-07-28 04:48:33,2026-07-28 04:58:37,10.1,"Residential, Manati, Puerto Rico, 00674","Residential, Manati, Puerto Rico, 00674",18.424723,-66.475481,18.418548,-66.462051,1.48,0.98,1.52,Revisar
RPS 933-089 11 EO,0470009731,2026-07-28 04:51:13,2026-07-28 05:19:44,28.5,"Carretera Militar (Secondary, PR-2), Manati, Puerto Rico, 00674","Residencial Colinas del Marquez (Neighbourhood, residential, neighbourhood), Vega Baja, Puerto Rico, 00693",18.436398,-66.462958,18.454124,-66.383251,6.18,5.37,1.15,Eficiente
RPS 933-090 12 LR,0470009730,2026-07-28 04:54:01,2026-07-28 06:26:02,92.0,"Roof, Carretera Militar, Manatí, Puerto Rico, 00674","Service, Villalba, Puerto Rico, 00766",18.432223,-66.476946,18.107041,-66.490583,36.68,22.49,1.63,Revisar
RPS 933-091 13 ME,0470009728,2026-07-28 05:05:27,2026-07-28 06:03:35,58.1,"Residential, Manati, Puerto Rico, 00674","Urbanización Embalse San José (Neighbourhood, residential, neighbourhood), San Juan, Puerto Rico, 00923",18.418548,-66.462051,18.419173,-66.032181,32.79,28.18,1.16,Eficiente
RPS 996-332 21 EP,0470009726,2026-07-28 05:13:24,2026-07-28 05:41:46,28.4,"Calle 3 (Residential), Toa Alta, Puerto Rico, 00953","Calle Limón (Residential), Toa Baja, Puerto Rico, 00949",18.365705,-66.219818,18.4194,-66.224668,5.72,3.72,1.54,Revisar
RPS IRK-578 17 AM,0470009725,2026-07-28 05:15:19,2026-07-28 06:02:20,47.0,"Carretera Profesor Roberto F. Rexach Benítez (Tertiary, PR-651), Arecibo, Puerto Rico, 00612","Avenida Los Veteranos (Secondary, PR-4491), Camuy, Puerto Rico, 00627",18.428159,-66.721211,18.480536,-66.84729,13.53,9.02,1.5,Revisar
RPS 994-209 19 MD,0470009727,2026-07-28 05:38:41,2026-07-28 06:02:18,23.6,"A-10 Calle A, Calle A, Guaynabo, Puerto Rico, 00966","Calle Atlas (Residential), San Juan, Puerto Rico, 00920",18.402986,-66.115966,18.40029,-66.099116,2.41,1.12,2.15,Ineficiente
RPS 933-089 11 EO,0470009731,2026-07-28 05:45:50,2026-07-28 07:25:03,99.2,"Residencial Colinas del Marquez (Neighbourhood, residential, neighbourhood), Vega Baja, Puerto Rico, 00693","Carretera Central (Secondary, PR-14), Aibonito, Puerto Rico, 00705",18.454124,-66.383251,18.151888,-66.249458,42.17,22.65,1.86,Ineficiente
RPS 994-204 20 RR,0470009744,2026-07-28 05:47:06,2026-07-28 06:32:19,45.2,"Carretera Adolfo Junior González Rivas ""Hommy"" (Secondary, PR-155), Orocovis, Puerto Rico, 00720","PR-772 (Tertiary), Barranquitas, Puerto Rico, 00794",18.213311,-66.400463,18.230888,-66.324843,15.51,5.11,3.03,Ineficiente
RPS 996-332 21 EP,0470009726,2026-07-28 05:49:10,2026-07-28 06:02:06,12.9,"Calle Limón (Residential), Toa Baja, Puerto Rico, 00949","Calle Girasol (Residential), Toa Baja, Puerto Rico, 00949",18.4194,-66.224668,18.41772,-66.217349,1.09,0.49,2.21,Ineficiente
RPS 996-332 21 EP,0470009726,2026-07-28 06:08:19,2026-07-28 06:39:35,31.3,"Calle Girasol (Residential), Toa Baja, Puerto Rico, 00949","Calle María Cadilla (Residential), Toa Baja, Puerto Rico, 00949",18.41772,-66.217349,18.439696,-66.170605,4.8,3.42,1.4,Revisar
RPS 994-209 19 MD,0470009727,2026-07-28 06:12:41,2026-07-28 06:30:01,17.3,"Calle Atlas (Residential), San Juan, Puerto Rico, 00920","2B-23 Calle 2, Calle 2, Guaynabo, Puerto Rico, 00969",18.40029,-66.099116,18.355433,-66.103343,3.94,3.11,1.27,Eficiente
RPS IRK-578 17 AM,0470009725,2026-07-28 06:17:15,2026-07-28 08:08:05,110.8,"Avenida Los Veteranos (Secondary, PR-4491), Camuy, Puerto Rico, 00627","Residential, Aguada, Puerto Rico, 00602",18.480536,-66.84729,18.357451,-67.191123,31.17,24.09,1.29,Eficiente
RPS 996-332 21 EP,0470009726,2026-07-28 06:42:32,2026-07-28 07:05:13,22.7,"Calle María Cadilla (Residential), Toa Baja, Puerto Rico, 00949","Urbanización Valle Verde 3 (Neighbourhood, residential, neighbourhood), Bayamon, Puerto Rico, 00961",18.439696,-66.170604,18.428155,-66.164291,1.98,0.9,2.21,Ineficiente
RPS 994-204 20 RR,0470009744,2026-07-28 06:44:24,2026-07-28 07:04:19,19.9,"PR-772 (Tertiary), Barranquitas, Puerto Rico, 00794","Calle Los Papujos (Residential), Barranquitas, Puerto Rico, 00794",18.230886,-66.324896,18.221093,-66.284035,7.09,2.77,2.56,Ineficiente
RPS 994-209 19 MD,0470009727,2026-07-28 06:49:02,2026-07-28 07:15:00,26.0,"2B-23 Calle 2, Calle 2, Guaynabo, Puerto Rico, 00969","Calle 40 Sureste (Residential), San Juan, Puerto Rico, 00921",18.355433,-66.103343,18.398296,-66.082003,6.74,3.28,2.06,Ineficiente
RPS 933-090 12 LR,0470009730,2026-07-28 06:53:20,2026-07-28 07:02:46,9.4,"Service, Villalba, Puerto Rico, 00766","Calle 8 (Residential), Villalba, Puerto Rico, 00766",18.107043,-66.490584,18.11186,-66.490706,1.76,0.33,5.3,Ineficiente
RPS 933-091 13 ME,0470009728,2026-07-28 06:58:41,2026-07-28 07:04:35,5.9,"Urbanización Embalse San José (Neighbourhood, residential, neighbourhood), San Juan, Puerto Rico, 00923","Jardines de Quintana (Neighbourhood, residential, neighbourhood), San Juan, Puerto Rico, 00917",18.419173,-66.032181,18.414975,-66.044456,1.28,0.86,1.5,Revisar
RPS 996-332 21 EP,0470009726,2026-07-28 07:08:08,2026-07-28 07:41:08,33.0,"Urbanización Valle Verde 3 (Neighbourhood, residential, neighbourhood), Bayamon, Puerto Rico, 00961","Urbanización Santa Juanita, 8va Sección (Neighbourhood, residential, neighbourhood), Bayamon, Puerto Rico, 00956",18.428146,-66.164289,18.356506,-66.161825,8.23,4.95,1.66,Revisar
RPS 933-090 12 LR,0470009730,2026-07-28 07:10:15,2026-07-28 07:27:19,17.1,"Calle 8 (Residential), Villalba, Puerto Rico, 00766","Service, Villalba, Puerto Rico, 00766",18.11186,-66.490706,18.100968,-66.514855,3.51,1.76,2.0,Ineficiente
RPS 994-204 20 RR,0470009744,2026-07-28 07:17:55,2026-07-28 07:36:06,18.2,"Calle Los Papujos (Residential), Barranquitas, Puerto Rico, 00794","PR-779 (Secondary), Comerio, Puerto Rico, 00782",18.221093,-66.284035,18.230361,-66.238396,6.23,3.06,2.04,Ineficiente
RPS 933-091 13 ME,0470009728,2026-07-28 07:19:00,2026-07-28 08:16:07,57.1,"Jardines de Quintana (Neighbourhood, residential, neighbourhood), San Juan, Puerto Rico, 00917","Calle General Aranda (Residential), Toa Baja, Puerto Rico, 00949",18.414975,-66.044456,18.402155,-66.200501,13.69,10.27,1.33,Eficiente
RPS 994-209 19 MD,0470009727,2026-07-28 07:31:48,2026-07-28 07:56:38,24.8,"Calle 40 Sureste (Residential), San Juan, Puerto Rico, 00921","Urbanización Fairview (Neighbourhood, residential, neighbourhood), San Juan, Puerto Rico, 00926",18.398296,-66.082003,18.364745,-66.03512,5.17,3.85,1.34,Eficiente
